BLG101_5_79830   17 52 46.30 -29 38 03.2 3 -                   2406  1.44368 2453509.93800  1.157115  32.215734  0.00000  0.00000       0 17.472 17.456 16.664 N 0.008116 0.001546 0.003391 m
BLG101_6_11216   17 52 32.23 -29 49 04.1 3 OGLE-2003-BLG-321   2405  1.27869 2452856.37534  0.569954  30.394558  0.00000  0.00000       0 18.467 18.335 16.509 N 0.005162 0.000878 0.003242 m
BLG101_6_163331  17 52 49.90 -29 44 51.0 3 OGLE-2007-BLG-516   2403  1.16133 2454373.84742  0.482592  16.504057  0.00000  0.00000       0 16.477 16.467 16.602 N 0.020136 0.006751 0.010343 m
BLG101_6_79519   17 52 37.08 -29 46 35.0 3 OGLE-2007-BLG-494   2401  1.75794 2454354.41216  0.039402  17.153764  0.00000  0.00000       0 18.458 18.366 16.658 N 0.008574 0.002736 0.003101 m
BLG101_7_140154  17 52 27.18 -29 52 55.3 3 OGLE-2005-BLG-115   2402  1.37305 2453499.77991  1.303130  28.167226  0.00000  0.00000       0 15.047 15.052 16.570 N 0.024117 0.008559 0.013187 m
BLG101_7_166809  17 52 52.83 -29 52 23.5 3 OGLE-2003-BLG-071   2402  1.90642 2452758.49854  0.224937  53.842452  0.00000  0.00000       0 17.719 18.720 16.345 N 0.004429 0.002615 0.002404 m
BLG101_7_174734  17 53 06.70 -29 52 17.7 3 OGLE-2008-BLG-372   2416  1.15162 2454648.82524  1.339800  12.687422  0.00000  0.00000       0 13.962 13.963 16.204 N 0.077070 0.023941 0.048746 m
BLG101_7_229326  17 52 41.62 -29 50 58.6 3 OGLE-2006-BLG-258   2405  1.45894 2453893.31096  0.872539  18.190682  0.00000  0.00000       0 18.559 18.449 16.497 N 0.008296 0.001756 0.001596 m
BLG101_7_52163   17 53 28.47 -29 57 44.7 3 OGLE-2008-BLG-318   2406  1.30086 2454717.74780  0.260168  49.313001  0.00000  0.00000       0 16.090 16.066 15.987 N 0.013624 0.006982 0.004641 m
BLG101_8_144830  17 52 27.28 -30 02 51.8 3 OGLE-2004-BLG-092   2376  2.00612 2453123.72841  0.762115  37.160276  0.00000  0.00000       0 17.454 17.406 16.409 f 0.006182 0.001690 0.004097 m
BLG101_8_190555  17 53 18.46 -30 02 14.0 3 OGLE-2005-BLG-473   2403  1.57982 2453628.54767  0.079899  32.587340  0.00000  0.00000       0 18.232 18.278 15.934 f 0.005348 0.001346 0.001496 m
BLG102_2_100711  17 57 07.79 -29 37 11.8 3 OGLE-2006-BLG-520   2531  1.21752 2453988.00821  0.140742   6.152943  0.00000  0.00000       0 17.981 18.211 15.998 f 0.013746 0.003760 0.007082 m
BLG102_2_107532  17 57 17.60 -29 35 13.5 3 OGLE-2002-BLG-290   2537  1.59402 2452508.63850  0.943392  12.018860  0.00000  0.00000       0 14.106 14.106 15.921 f 0.047273 0.011636 0.049620 m
BLG102_3_132752  17 56 30.97 -29 25 48.7 3 OGLE-2004-BLG-002   2520  1.21166 2453051.59143  0.664561   5.969817  0.00000  0.00000       0 17.003 17.000 15.827 f 0.025045 0.007259 0.005547 m
BLG102_3_173993  17 57 16.89 -29 23 43.5 3 OGLE-2008-BLG-018   2535  1.09983 2454511.57210  0.000349  16.009802  0.00000  0.00000       0 16.495 16.622 16.257 f 0.034929 0.007214 0.001991 f
BLG102_4_130654  17 56 22.85 -29 14 52.0 3 OGLE-2009-BLG-105   2474  1.16538 2454925.69404  0.529283  19.562545  0.00000  0.00000       0 16.964 16.950 16.137 f 0.012900 0.002675 0.004615 m
BLG102_4_233471  17 57 27.05 -29 13 13.2 3 OGLE-2004-BLG-006   2527  1.13110 2453070.25218  0.749519  10.611753  0.00000  0.00000       0 16.405 16.674 16.144 N 0.019933 0.006367 0.015043 m
BLG102_4_64515   17 56 27.87 -29 18 02.6 3 OGLE-2005-BLG-522   2521  1.23719 2453685.26183  0.276707  51.503018  0.00000  0.00000       0 15.929 16.948 16.152 N 0.005787 0.001353 0.008846 m
BLG102_4_99077   17 57 03.82 -29 18 39.2 3 OGLE-2008-BLG-439   2533  1.10236 2454675.48243  0.386296  14.288819  0.00000  0.00000       0 16.123 16.335 15.924 N 0.014943 0.004533 0.004967 m
BLG102_5_17126   17 55 28.00 -29 19 33.3 3 OGLE-2004-BLG-571   2533  1.08032 2453291.84059  0.241054  34.029573  0.00000  0.00000       0 16.941 17.101 16.154 f 0.007698 0.002009 0.004578 m
BLG102_5_174139  17 56 10.49 -29 15 47.9 3 OGLE-2004-BLG-003   2533  1.04599 2453057.84843  0.116424  14.022075  0.00000  0.00000       0 18.416 18.676 16.223 f 0.007722 0.002824 0.006029 m
BLG102_5_9461    17 55 13.51 -29 20 14.5 3 OGLE-2002-BLG-267   2531  1.02897 2452486.41724  0.124045  31.348454  0.00000  0.00000       0 18.400 19.508 16.207 N 0.002955 0.000605 0.000821 m
BLG102_6_213484  17 55 24.47 -29 23 10.7 3 OGLE-2005-BLG-185   2536  1.43603 2453503.13110  0.995234  11.258223  0.00000  0.00000       0 13.774 13.774 15.961 N 0.063136 0.008808 0.056903 m
BLG102_7_70648   17 55 07.17 -29 36 13.0 3 OGLE-2005-BLG-200   2525  1.31997 2453530.38850  1.127012  24.572346  0.00000  0.00000       0 16.341 16.338 15.778 N 0.009338 0.002265 0.011426 m
BLG102_8_108332  17 55 50.73 -29 45 40.6 3 -                   2531  1.28281 2454173.85909  0.653112 199.618045  0.00000  0.00000       0 18.264 19.037 15.939 N 0.001451 0.000639 0.002246 m
BLG102_8_142936  17 55 13.29 -29 43 54.3 3 OGLE-2004-BLG-162   2509  1.32252 2453111.09563  0.097465   4.614286  0.00000  0.00000       0 18.478 18.919 15.898 N 0.020107 0.006529 0.004173 m
BLG102_8_50395   17 56 05.42 -29 47 35.0 3 OGLE-2003-BLG-150   2537  0.95247 2452780.80882  0.198128   9.694239  0.00000  0.00000       0 15.610 15.609 16.056 N 0.030467 0.002185 0.011604 f
BLG103_1_142640  17 57 35.95 -30 18 23.6 3 OGLE-2004-BLG-400   1389  1.15096 2453185.43277  0.244492  12.836232  0.00000  0.00000       0 18.226 18.384 16.224 f 0.010585 0.003314 0.008326 m
BLG103_1_71732   17 57 08.54 -30 20 05.5 3 OGLE-2003-BLG-262   1387  1.39205 2452839.84457  0.034769  12.927224  0.00000  0.00000       0 15.405 15.436 16.430 f 0.048095 0.013329 0.004843 f
BLG103_3_213579  17 56 48.67 -29 57 41.5 3 OGLE-2008-BLG-294   1369  1.35206 2454677.91549  0.222844 109.452197  0.00000  0.00000       0 18.395 19.481 16.002 N 0.001220 0.000478 0.001854 m
BLG103_4_127583  17 56 33.51 -29 52 29.3 3 OGLE-2008-BLG-495   1386  1.47870 2454670.25960  1.154818   8.756053  0.00000  0.00000       0 17.408 17.377 16.285 f 0.019521 0.005579 0.006073 m
BLG103_4_89956   17 57 10.60 -29 53 39.8 3 OGLE-2005-BLG-589   1385  1.38260 2453668.82507  0.342799   7.014344  0.00000  0.00000       0 16.188 16.183 16.324 N 0.044916 0.011786 0.016597 m
BLG103_5_217613  17 55 39.36 -29 49 40.1 3 OGLE-2004-BLG-193   1382  1.18575 2453183.76156  0.948055  36.701881  0.00000  0.00000       0 16.733 16.727 15.884 N 0.008294 0.003315 0.005658 m
BLG103_5_41812   17 55 49.80 -29 55 20.8 3 OGLE-2006-BLG-236   1381  1.67440 2453890.23809  0.237280  23.139447  0.00000  0.00000       0 17.341 18.221 16.049 N 0.004734 0.001782 0.003135 m
BLG103_5_41946   17 55 53.68 -29 56 50.4 3 OGLE-2009-BLG-009   1318  1.30283 2454886.36730  0.633790  17.459384  0.00000  0.00000       0 17.193 17.166 16.050 N 0.009833 0.003483 0.007229 m
BLG103_5_8378    17 55 16.89 -29 56 09.1 3 OGLE-2003-BLG-330   1391  1.05035 2452892.10043  0.474807  40.607887  0.00000  0.00000       0 15.773 16.995 15.709 N 0.005671 0.001256 0.006031 m
BLG103_7_140499  17 55 20.59 -30 08 56.9 3 OGLE-2008-BLG-002   1384  1.48700 2454517.52951  0.442497  16.120924  0.00000  0.00000       0 16.616 17.213 16.011 f 0.014295 0.004187 0.005546 m
BLG103_7_181467  17 56 17.56 -30 10 36.9 3 -                   1388  1.12787 2454364.84651  0.301807  86.681388  0.00000  0.00000       0 18.119 18.443 15.992 f 0.002691 0.001021 0.000685 m
BLG103_7_202629  17 55 21.62 -30 06 58.9 3 OGLE-2002-BLG-008   1386  1.27554 2452400.14243  0.215606  54.560181  0.00000  0.00000       0 15.031 16.931 16.194 f 0.006179 0.002090 0.005407 m
BLG103_7_70986   17 55 09.14 -30 12 48.4 3 OGLE-2005-BLG-076   1387  1.52937 2453472.14701  0.164500  29.704573  0.00000  0.00000       0 17.842 18.341 15.995 f 0.005675 0.002495 0.001322 m
BLG103_8_119389  17 55 38.26 -30 19 32.0 3 -                   1388  1.18480 2452843.48719  0.038339  30.033661  0.00000  0.00000       0 18.155 18.400 16.417 N 0.004915 0.000566 0.002006 m
BLG103_8_124939  17 55 49.50 -30 19 25.0 3 OGLE-2003-BLG-161   1360  2.02350 2452790.92039  0.056800  20.966757  0.00000  0.00000       0 16.003 17.639 16.231 N 0.006799 0.000552 0.001108 m
